term,coef,std_err,t_value,p_value,ci_lower,ci_upper
Intercept,2.766344246727259,0.3089052475836048,8.955316455019274,9.74877833959554e-19,2.1604141105194397,3.3722743829350788
C(RIAGENDR)[T.2.0],0.7663754296573926,0.16918331372433243,4.5298523405572135,6.368028742037119e-06,0.4345155174966905,1.0982353418180946
LBXVIDMS,0.0005118522834708194,0.0028060740668859616,0.18240868603972635,0.8552865598064661,-0.0049923754849398195,0.006016080051881459
RIDAGEYR,-0.016736775364924364,0.005447001820862553,-3.0726583018241094,0.0021596586591714753,-0.027421289729952142,-0.006052260999896584
